tti,rnti,weight,metrics
2190212,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190212,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 28.786001205444336, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190213,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190213,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 28.786001205444336, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190214,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190214,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 28.786001205444336, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190215,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190215,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 28.786001205444336, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190216,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190216,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 28.786001205444336, ""tx_bytes"": 28.0, ""ul_buffer"": 512, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190220,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190220,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 28.786001205444336, ""tx_bytes"": 0.0, ""ul_buffer"": 512, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190221,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190221,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 28.786001205444336, ""tx_bytes"": 0.0, ""ul_buffer"": 512, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190222,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190222,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 28.786001205444336, ""tx_bytes"": 0.0, ""ul_buffer"": 512, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190223,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190223,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 28.786001205444336, ""tx_bytes"": 0.0, ""ul_buffer"": 512, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190224,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190224,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 28.786001205444336, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190225,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190225,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 28.786001205444336, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190226,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190226,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 28.786001205444336, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190230,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190230,17944,0.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 28.786001205444336, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190231,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190231,17944,0.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 28.786001205444336, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
